sex,race,age,HH,HU,HD,UH,UU,UD
m,not black,83,0.82781726,0.1214865,0.05069624,0.12746205000000002,0.70337166,0.16916629000000002
m,not black,84,0.8189157400000001,0.12487997999999999,0.056204279999999995,0.12538927000000002,0.6957020700000001,0.17890866000000002
m,not black,85,0.80946279,0.12826570999999998,0.0622715,0.12326648999999998,0.68764911,0.1890844
m,not black,86,0.7994251800000001,0.13162899000000003,0.06894583000000003,0.12109382999999997,0.67920803,0.19969814000000002
m,not black,87,0.78876928,0.13495339,0.07627733000000002,0.11887167881128323,0.670375503296245,0.2107528178924718
m,not black,88,0.7774615577746156,0.13822060138220604,0.08431784084317843,0.11660069999999997,0.66114979,0.22224951
m,not black,89,0.76546906,0.14141047000000004,0.09312047000000001,0.11428187114281872,0.6515308765153088,0.23418725234187254
m,not black,90,0.7527601099999999,0.14450091999999998,0.10273896999999997,0.11191647000000002,0.6415205900000001,0.24656294
m,not black,91,0.73930508,0.14746799,0.11322693000000002,0.1095061,0.63112278,0.25937112000000007
m,not black,92,0.72507723,0.15028595,0.12463682000000002,0.10705270892947291,0.6203433737965662,0.2726039172739608
m,not black,93,0.7100537328994627,0.1529274384707256,0.1370188286298117,0.10455858895441411,0.6091905139080949,0.286250897137491
m,not black,94,0.69421681,0.15536364,0.15041954999999999,0.10202637000000002,0.59767461,0.30029901999999997
m,not black,95,0.67755487,0.15756465,0.16488048,0.09945904,0.5858083900000001,0.31473257
m,not black,96,0.66006377,0.15949985,0.18043638,0.0968599290314007,0.5736069442639306,0.3295331267046687
m,not black,97,0.6417480799999999,0.1611384,0.19711352,0.09423268,0.56108771,0.34467960999999997
m,not black,98,0.6226223399999999,0.16244982,0.21492783999999998,0.09158126999999998,0.54827042,0.36014830999999997
m,not black,99,0.6027121460271214,0.16340469163404692,0.23388316233883166,0.08890994999999997,0.53517704,0.37591300999999994
m,not black,100,0.5870389441265326,0.1653794569227851,0.2475815989506823,0.08625222148471846,0.5220070219358719,0.39174075657940965
m,not black,101,0.566610926464041,0.1658668734661177,0.26752220006984134,0.08355852913781546,0.5084588241582711,0.4079826467039135
m,not black,102,0.5456288150907865,0.16597094855473724,0.28840023635447626,0.08085927621992972,0.4947135416747592,0.424427182105311
m,not black,103,0.5241623349961281,0.16567640180706078,0.3101612631968111,0.07815955516827372,0.4808005705217335,0.4410398743099929
m,not black,104,0.5022911882112603,0.16497208676146885,0.33273672502727086,0.07546457179036882,0.4667506742138602,0.45778475399577095
m,not black,105,0.48010415878785134,0.163851507585931,0.35604433362621773,0.07277959955466609,0.45259572775361356,0.4746246726917204
m,not black,106,0.45769785891024367,0.16231322977913745,0.3799889113106188,0.07010993204889439,0.43836844130764524,0.4915216266434604
m,not black,107,0.4351751404334666,0.16036115737961565,0.40446370218691785,0.0674608344961521,0.42410206853626786,0.50843709696758
m,not black,108,0.41264321834285217,0.15800465465585387,0.42935212700129405,0.06483749525938075,0.40983010505085904,0.5253323996897603
m,not black,109,0.39021157334076473,0.15525849791172325,0.45452992874751197,0.06224497827515344,0.39558598278815615,0.5421690389366904
m,not black,110,0.36798971785135803,0.15214265237675678,0.47986762977188513,0.059688177336848475,0.3814027662148465,0.5589090564483051
